S.NO,N,k,edge,zeros_around,time_sec,square_matrix_size,edge/N,zeros_around/N
1,100,0.001,331,462,1688.157222,101,3.31,4.62
2,200,0.001,533,804,2461.425525,101,2.665,4.02
3,300,0.001,708,1150,3120.216575,101,2.36,3.833333333
4,400,0.001,856,1418,3740.840944,101,2.14,3.545
5,500,0.001,1036,1686,4205.218238,101,2.072,3.372
6,600,0.001,1209,2022,4649.949274,101,2.015,3.37
7,700,0.001,1367,2318,4937.676242,101,1.952857143,3.311428571
8,800,0.001,1562,2648,5227.424443,101,1.9525,3.31
9,900,0.001,1745,2972,5471.713184,101,1.938888889,3.302222222
10,1000,0.001,1871,3270,5695.66226,101,1.871,3.27
11,1100,0.001,2014,3578,5880.45806,101,1.830909091,3.252727273
12,1200,0.001,2190,3906,6077.539415,101,1.825,3.255
13,1300,0.001,2322,4200,6233.148512,101,1.786153846,3.230769231
14,1400,0.001,2482,4488,6411.208821,101,1.772857143,3.205714286
15,1500,0.001,2653,4782,6561.871428,101,1.768666667,3.188
16,100,0.005,289,398,218.9438672,101,2.89,3.98
17,200,0.005,507,740,346.0379741,101,2.535,3.7
18,300,0.005,712,1070,433.28321,101,2.373333333,3.566666667
19,400,0.005,949,1442,506.4405046,101,2.3725,3.605
20,500,0.005,1139,1802,563.0664647,101,2.278,3.604
21,600,0.005,1272,2076,614.4161875,101,2.12,3.46
22,700,0.005,1430,2362,661.782171,101,2.042857143,3.374285714
23,800,0.005,1596,2704,712.8092675,101,1.995,3.38
24,900,0.005,1739,2972,754.6857469,101,1.932222222,3.302222222
25,1000,0.005,1921,3250,794.6690319,101,1.921,3.25
26,1100,0.005,2120,3616,826.7362354,101,1.927272727,3.287272727
27,1200,0.005,2266,3956,862.3437421,101,1.888333333,3.296666667
28,1300,0.005,2418,4286,892.7585459,101,1.86,3.296923077
29,1400,0.005,2607,4608,927.2797012,101,1.862142857,3.291428571
30,1500,0.005,2762,4926,956.3291478,101,1.841333333,3.284
31,100,0.020526316,307,444,110.5270085,101,3.07,4.44
32,200,0.020526316,524,756,157.8410513,101,2.62,3.78
33,300,0.020526316,721,1078,198.5818722,101,2.403333333,3.593333333
34,400,0.020526316,932,1426,233.3540714,101,2.33,3.565
35,500,0.020526316,1113,1804,257.3429031,101,2.226,3.608
36,600,0.020526316,1309,2192,279.0780542,101,2.181666667,3.653333333
37,700,0.020526316,1519,2548,300.1956515,101,2.17,3.64
38,800,0.020526316,1746,2954,318.2451456,101,2.1825,3.6925
39,900,0.020526316,1967,3318,337.5076718,101,2.185555556,3.686666667
40,1000,0.020526316,2176,3720,352.6951244,101,2.176,3.72
41,1100,0.020526316,2329,4050,368.3565466,101,2.117272727,3.681818182
42,1200,0.020526316,2541,4426,382.167439,101,2.1175,3.688333333
43,1300,0.020526316,2736,4798,395.8898253,101,2.104615385,3.690769231
44,1400,0.020526316,2899,5140,406.8851092,101,2.070714286,3.671428571
45,1500,0.020526316,3085,5512,418.3985269,101,2.056666667,3.674666667
46,100,0.036052632,344,414,84.29737091,101,3.44,4.14
47,200,0.036052632,587,832,116.8157568,101,2.935,4.16
48,300,0.036052632,890,1254,147.0422032,101,2.966666667,4.18
49,400,0.036052632,1093,1646,173.0555201,101,2.7325,4.115
50,500,0.036052632,1365,2078,193.0971227,101,2.73,4.156
51,600,0.036052632,1607,2426,209.4092999,101,2.678333333,4.043333333
52,700,0.036052632,1835,2820,226.1315548,101,2.621428571,4.028571429
53,800,0.036052632,2034,3190,237.9899392,101,2.5425,3.9875
54,900,0.036052632,2277,3566,250.5524893,101,2.53,3.962222222
55,1000,0.036052632,2496,3936,261.4803705,101,2.496,3.936
56,1100,0.036052632,2716,4328,272.1508236,101,2.469090909,3.934545455
57,1200,0.036052632,2964,4736,280.099663,101,2.47,3.946666667
58,1300,0.036052632,3222,5156,286.0761907,101,2.478461538,3.966153846
59,1400,0.036052632,3463,5574,292.9173322,101,2.473571429,3.981428571
60,1500,0.036052632,3671,5968,299.9496696,101,2.447333333,3.978666667
61,100,0.051578947,354,470,59.77115655,101,3.54,4.7
62,200,0.051578947,581,864,89.90170121,101,2.905,4.32
63,300,0.051578947,858,1264,117.4985774,101,2.86,4.213333333
64,400,0.051578947,1102,1696,137.2470286,101,2.755,4.24
65,500,0.051578947,1305,2122,157.6490228,101,2.61,4.244
66,600,0.051578947,1537,2536,173.1574078,101,2.561666667,4.226666667
67,700,0.051578947,1782,2948,186.2059164,101,2.545714286,4.211428571
68,800,0.051578947,2037,3396,200.8027155,101,2.54625,4.245
69,900,0.051578947,2340,3854,212.2684557,101,2.6,4.282222222
70,1000,0.051578947,2615,4280,222.5538723,101,2.615,4.28
71,1100,0.051578947,2884,4690,230.9017754,101,2.621818182,4.263636364
72,1200,0.051578947,3121,5130,238.0473206,101,2.600833333,4.275
73,1300,0.051578947,3344,5558,244.6786683,101,2.572307692,4.275384615
74,1400,0.051578947,3597,5976,250.3193057,101,2.569285714,4.268571429
75,1500,0.051578947,3902,6440,256.3063653,101,2.601333333,4.293333333
76,100,0.067105263,342,450,57.90206265,101,3.42,4.5
77,200,0.067105263,627,874,89.47929668,101,3.135,4.37
78,300,0.067105263,886,1264,115.8422556,101,2.953333333,4.213333333
